Video,Section,Title,Start ,End,URL,Description,Image
"T2 Echo",,Cheng Upstairs3,00:00:00,00:06:06,https://researchdata.sfu.ca/islandora/object/islandora:10907,,
,,Donald Upstairs3,00:06:07,00:11:20,,,
,,Cheng Upstairs4,00:11:21,00:16:26,,,
,,Tara Upstairs3,00:16:27,00:21:06,,,
,,Brenna Upstairs3,00:21:07,00:22:31,,,
,,Brenna&DonaldUps,00:22:32,00:32:14,,,
,,Curtain Call,00:32:15,00:33:44,,,
